epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1896,0,63.001,0,0.01621,1,0.07089,0.02204,2.15309,3.43656,2.07805,8.574e-05,8.574e-05,8.574e-05
2,47.4208,0,61.1374,0,0.01261,0.8,0.03759,0.01417,2.37802,3.5206,2.33793,0.000183931,0.000183931,0.000183931
3,71.4442,0,58.7743,0,0.01284,0.8,0.0303,0.01196,2.66494,3.69879,2.66985,0.000280141,0.000280141,0.000280141
4,94.3507,0,56.2806,0,0.01742,1,0.05189,0.01886,2.8063,3.65772,2.94131,0.000374371,0.000374371,0.000374371
5,117.179,0,53.6782,0,0.01498,0.9,0.10043,0.02395,2.69618,3.56785,2.89432,0.00046662,0.00046662,0.00046662
6,140.228,0,52.7949,0,0.01466,1,0.17,0.04307,2.54585,3.51839,2.58394,0.000556888,0.000556888,0.000556888
7,162.084,0,49.9397,0,0.01406,1,0.1016,0.02612,2.80895,3.49749,2.74927,0.000645176,0.000645176,0.000645176
8,184.624,0,48.5935,0,0.01282,1,0.16783,0.03972,2.65349,3.51196,2.62292,0.000731484,0.000731484,0.000731484
9,206.841,0,46.9832,0,0.01321,1,0.08643,0.02869,2.64283,3.47753,2.67071,0.00081581,0.00081581,0.00081581
10,229.271,0,46.1459,0,0.01299,1,0.07517,0.02493,2.7711,3.42263,2.68806,0.000898157,0.000898157,0.000898157
11,251.26,0,45.0702,0,0.01366,1,0.02903,0.01025,2.8188,3.45537,2.88635,0.000978522,0.000978522,0.000978522
12,275.019,0,44.1302,0,0.01173,0.9,0.08711,0.02439,3.38331,3.41105,3.04225,0.00105691,0.00105691,0.00105691
13,296.953,0,43.4447,0,0.01275,1,0.03696,0.01578,3.05913,3.46692,3.06827,0.00113331,0.00113331,0.00113331
14,319.961,0,42.7999,0,0.01275,1,0.03696,0.01578,3.05913,3.46692,3.06827,0.00120774,0.00120774,0.00120774
15,343.205,0,42.3844,0,0.01258,1,0.03338,0.01251,3.11783,3.53817,3.1043,0.00123094,0.00123094,0.00123094
16,366.349,0,41.4525,0,0.01291,1,0.02535,0.01084,3.22033,3.49175,3.23984,0.00121679,0.00121679,0.00121679
