epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.31449,1.96526,3.1315,1.96131,0.01106,1,0.08708,0.03686,2.08379,3.20317,1.99854,1.667e-05,1.667e-05,1.667e-05
2,10.8438,2.02983,3.22118,2.071,0.01065,1,0.12775,0.0643,1.88403,3.22248,1.8752,4.95149e-05,4.95149e-05,4.95149e-05
3,15.992,2.26058,3.24364,2.26864,0.01007,1,0.28621,0.09811,1.65487,3.16538,1.66486,8.16997e-05,8.16997e-05,8.16997e-05
4,22.334,1.9222,3.09562,2.03225,0.0094,1,0.30459,0.1283,1.70924,3.06444,1.7868,0.000113224,0.000113224,0.000113224
5,28.6169,2.13942,3.22894,2.24236,0.00788,0.9,0.30438,0.14668,1.74213,3.0426,1.81362,0.000144089,0.000144089,0.000144089
6,34.6625,1.94645,2.99332,1.90503,0.00884,1,0.31501,0.16593,1.74927,3.0403,1.81312,0.000174293,0.000174293,0.000174293
7,41.8668,1.76511,2.94348,1.87201,0.00858,1,0.42137,0.16114,1.83753,3.05043,1.81468,0.000203837,0.000203837,0.000203837
8,48.8233,1.56589,2.75306,1.66785,0.00848,1,0.39533,0.15064,1.93062,3.06631,1.78819,0.000232722,0.000232722,0.000232722
9,55.0712,1.66296,2.69312,1.74568,0.00841,1,0.39693,0.15146,1.97105,3.06712,1.81341,0.000260946,0.000260946,0.000260946
10,60.8158,1.72217,2.68911,1.79698,0.00834,1,0.39214,0.1552,1.89807,3.1134,1.8054,0.000288509,0.000288509,0.000288509
11,66.868,1.752,2.61488,1.85654,0.00833,1,0.40462,0.17501,1.88183,3.07374,1.85299,0.000315413,0.000315413,0.000315413
12,72.8627,1.58648,2.49339,1.71852,0.00833,1,0.40462,0.17501,1.88183,3.07374,1.85299,0.000341657,0.000341657,0.000341657
13,79.4173,1.67254,2.56128,1.68664,0.00833,1,0.47265,0.19801,1.85741,2.99062,1.82045,0.00036724,0.00036724,0.00036724
14,85.5433,1.51619,2.41126,1.65617,0.00833,1,0.54576,0.23254,1.94093,2.87613,1.85064,0.000392163,0.000392163,0.000392163
15,91.5757,1.51805,2.35445,1.70669,0.00833,1,0.54576,0.23254,1.94093,2.87613,1.85064,0.000416427,0.000416427,0.000416427
16,97.3323,1.50979,2.40861,1.67222,0.00833,1,0.48344,0.22544,1.72218,2.79277,1.83758,0.00044003,0.00044003,0.00044003
17,103.181,1.63513,2.06398,1.63408,0.01079,1,0.33388,0.1484,1.71006,2.73612,1.79373,0.000462973,0.000462973,0.000462973
18,108.818,1.56437,2.04887,1.63209,0.01079,1,0.33388,0.1484,1.71006,2.73612,1.79373,0.000485255,0.000485255,0.000485255
19,114.515,1.62609,2.12649,1.61558,0.19491,0.1,0.30838,0.12561,1.67362,2.83207,1.76123,0.000506878,0.000506878,0.000506878
20,119.51,1.65704,2.26677,1.67522,0.19491,0.1,0.30838,0.12561,1.67362,2.83207,1.76123,0.000527841,0.000527841,0.000527841
21,124.805,1.37349,1.99353,1.54944,0.30177,0.187,0.26821,0.11238,1.84437,2.85351,1.895,0.000548143,0.000548143,0.000548143
22,130.439,1.38202,1.80862,1.54856,0.30177,0.187,0.26821,0.11238,1.84437,2.85351,1.895,0.000567785,0.000567785,0.000567785
