epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,299.945,1.08898,1.52499,1.28994,0.57508,0.4,0.44147,0.21281,1.93914,2.65319,2.16668,0.000709599,0.000709599,0.000709599
44,306.714,1.14353,1.51716,1.33926,0.57508,0.4,0.44147,0.21281,1.93914,2.65319,2.16668,0.000713987,0.000713987,0.000713987
45,313.453,1.19845,1.45279,1.37783,0.57508,0.4,0.44147,0.21281,1.93914,2.65319,2.16668,0.00071781,0.00071781,0.00071781
46,320.63,1.12676,1.41193,1.29111,0.87762,0.4,0.45175,0.22165,1.86202,2.6276,2.17622,0.000721066,0.000721066,0.000721066
47,328.072,1.16869,1.46887,1.3471,0.87762,0.4,0.45175,0.22165,1.86202,2.6276,2.17622,0.000723757,0.000723757,0.000723757
48,335.551,1.07347,1.46154,1.28455,0.87762,0.4,0.45175,0.22165,1.86202,2.6276,2.17622,0.000725882,0.000725882,0.000725882
49,342.171,1.06555,1.37627,1.19135,0.87762,0.4,0.45175,0.22165,1.86202,2.6276,2.17622,0.000727441,0.000727441,0.000727441
50,347.999,1.10681,1.36689,1.3147,0.5,0.28844,0.34682,0.21531,1.93901,2.75027,2.20938,0.000728434,0.000728434,0.000728434
51,354.222,1.17694,1.3798,1.29782,0.5,0.28844,0.34682,0.21531,1.93901,2.75027,2.20938,0.000721645,0.000721645,0.000721645
52,359.781,1.08262,1.27975,1.27191,0.5,0.28844,0.34682,0.21531,1.93901,2.75027,2.20938,0.000707498,0.000707498,0.000707498
53,365.714,1.04512,1.42327,1.29586,0.5,0.28844,0.34682,0.21531,1.93901,2.75027,2.20938,0.000693351,0.000693351,0.000693351
54,371.846,1.1121,1.31835,1.2595,0.35796,0.4,0.31386,0.1793,1.78218,2.88543,2.06328,0.000679204,0.000679204,0.000679204
55,378.368,1.15459,1.29291,1.26522,0.35796,0.4,0.31386,0.1793,1.78218,2.88543,2.06328,0.000665057,0.000665057,0.000665057
56,384.981,1.06433,1.19514,1.13146,0.35796,0.4,0.31386,0.1793,1.78218,2.88543,2.06328,0.000650909,0.000650909,0.000650909
