epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,174.916,1.7673,1.21106,1.14258,0.70681,0.21053,0.13256,0.04986,2.33865,1.83893,1.43218,0.00136788,0.00136788,0.00136788
31,179.979,1.72887,1.19496,1.12684,0.71028,0.17895,0.13738,0.05446,2.28628,1.80288,1.44337,0.00135756,0.00135756,0.00135756
32,185.093,1.74317,1.10634,1.07633,0.82519,0.18947,0.21491,0.07772,2.33981,1.67213,1.37312,0.00134725,0.00134725,0.00134725
33,190.366,1.65671,1.13481,1.08515,0.29577,0.2,0.21285,0.08159,2.33579,1.68764,1.36537,0.00133693,0.00133693,0.00133693
34,195.872,1.75528,1.2004,1.07852,0.27649,0.19532,0.16995,0.06926,2.26843,1.88956,1.36108,0.00132662,0.00132662,0.00132662
35,201.519,1.72607,1.15124,1.07777,0.25292,0.20526,0.1763,0.07272,2.25147,1.83792,1.36125,0.0013163,0.0013163,0.0013163
36,206.617,1.67763,1.16799,1.09256,0.20735,0.24614,0.17343,0.06856,2.25235,1.75205,1.34942,0.00130599,0.00130599,0.00130599
37,211.795,1.69498,1.11107,1.07232,0.20485,0.25789,0.17357,0.06688,2.25382,1.71686,1.35076,0.00129568,0.00129568,0.00129568
38,216.976,1.63507,1.07127,1.0522,0.22155,0.25547,0.17699,0.07018,2.2286,1.74776,1.32657,0.00128536,0.00128536,0.00128536
39,222.3,1.6988,1.24579,1.11978,0.19304,0.25263,0.15165,0.05665,2.32091,1.7555,1.34846,0.00127505,0.00127505,0.00127505
40,227.541,1.7465,1.26453,1.09646,0.75002,0.20526,0.16507,0.05899,2.34008,1.72715,1.31467,0.00126473,0.00126473,0.00126473
41,232.862,1.67521,1.19278,1.06726,0.7584,0.21955,0.17607,0.06661,2.3034,1.68454,1.30627,0.00125442,0.00125442,0.00125442
42,242.104,1.58279,1.05431,1.03727,0.74328,0.20526,0.15811,0.05446,2.36165,1.78648,1.40253,0.0012441,0.0012441,0.0012441
43,247.357,1.58991,1.04438,1.07057,0.72396,0.2,0.14341,0.05437,2.33519,1.99776,1.40358,0.00123379,0.00123379,0.00123379
44,252.656,1.59225,1.06164,1.07227,0.21903,0.27895,0.20261,0.07786,2.25261,1.95629,1.38906,0.00122347,0.00122347,0.00122347
45,257.57,1.58806,1.0507,1.07201,0.27877,0.24211,0.23472,0.0898,2.19915,1.71892,1.34745,0.00121316,0.00121316,0.00121316
46,262.753,1.70978,1.08937,1.09023,0.31202,0.23158,0.23137,0.08965,2.16267,1.48711,1.29671,0.00120284,0.00120284,0.00120284
47,267.953,1.59825,1.05641,1.05095,0.76026,0.22632,0.19018,0.07976,2.12277,1.53521,1.3005,0.00119253,0.00119253,0.00119253
48,272.912,1.58726,1.05334,1.09776,0.69011,0.24211,0.14989,0.06067,2.23227,1.76042,1.41514,0.00118222,0.00118222,0.00118222
49,278.01,1.70739,1.09583,1.1058,0.71579,0.22105,0.15097,0.05903,2.26114,1.85275,1.3967,0.0011719,0.0011719,0.0011719
50,285.808,1.61002,1.11436,1.03305,0.21752,0.24722,0.16665,0.06496,2.25772,1.69014,1.36753,0.00116159,0.00116159,0.00116159
51,291.245,1.59888,1.00362,1.03691,0.72198,0.20526,0.16588,0.07082,2.27094,1.66931,1.39934,0.00115127,0.00115127,0.00115127
52,296.533,1.58228,0.98581,1.02392,0.19451,0.20526,0.12975,0.05402,2.42045,1.76986,1.50464,0.00114096,0.00114096,0.00114096
53,301.639,1.62492,0.99403,1.05301,0.17926,0.19474,0.12382,0.05057,2.44428,1.83891,1.51481,0.00113064,0.00113064,0.00113064
54,306.74,1.58638,0.97203,1.0522,0.1751,0.23158,0.15322,0.06407,2.28945,1.8004,1.43277,0.00112033,0.00112033,0.00112033
55,311.743,1.53869,0.96593,1.02434,0.17786,0.22632,0.16241,0.06957,2.30579,1.76506,1.42644,0.00111001,0.00111001,0.00111001
56,317.047,1.51035,0.94382,0.99461,0.23179,0.24211,0.18294,0.07713,2.37048,1.56487,1.43897,0.0010997,0.0010997,0.0010997
57,322.592,1.53284,0.96679,1.01182,0.23707,0.24737,0.19502,0.07887,2.33045,1.53999,1.43135,0.00108938,0.00108938,0.00108938
58,327.837,1.54036,0.93342,1.02444,0.7507,0.21701,0.18261,0.06525,2.32367,1.63273,1.43715,0.00107907,0.00107907,0.00107907
59,333.276,1.52954,0.91244,1.02657,0.76395,0.20526,0.17677,0.0625,2.36931,1.67286,1.43922,0.00106876,0.00106876,0.00106876
60,338.554,1.51691,0.99083,1.03716,0.75269,0.21053,0.1625,0.06446,2.42139,1.72598,1.4975,0.00105844,0.00105844,0.00105844
61,343.904,1.45308,0.91365,1.03946,0.74878,0.2,0.1692,0.06854,2.42246,1.74903,1.5151,0.00104813,0.00104813,0.00104813
62,349.333,1.53333,0.88808,1.01986,0.23505,0.21579,0.17941,0.05953,2.53371,1.78093,1.53415,0.00103781,0.00103781,0.00103781
63,355.043,1.56551,0.93957,1.04625,0.30411,0.18947,0.18745,0.06531,2.48602,1.70142,1.49819,0.0010275,0.0010275,0.0010275
64,360.613,1.48027,0.94712,1.01093,0.32822,0.23131,0.2096,0.07527,2.31001,1.53272,1.41518,0.00101718,0.00101718,0.00101718
65,367.637,1.47947,0.89886,1.01556,0.28134,0.23158,0.19386,0.06924,2.36235,1.5643,1.43485,0.00100687,0.00100687,0.00100687
66,372.869,1.48982,0.91282,1.02497,0.21011,0.24211,0.15164,0.05323,2.3981,1.73691,1.45736,0.000996553,0.000996553,0.000996553
67,377.971,1.44923,0.88659,0.977,0.19842,0.21579,0.12933,0.04823,2.39469,1.87149,1.4519,0.000986239,0.000986239,0.000986239
68,383.362,1.51843,1.00377,1.0515,0.2144,0.23684,0.14283,0.05239,2.37389,1.86629,1.43772,0.000975924,0.000975924,0.000975924
69,388.427,1.45783,0.87656,0.99388,0.22793,0.22632,0.15624,0.05862,2.37414,1.76256,1.42635,0.00096561,0.00096561,0.00096561
70,397.023,1.45399,0.85275,1.00237,0.265,0.20526,0.17866,0.06557,2.40587,1.62617,1.40758,0.000955295,0.000955295,0.000955295
71,402.21,1.43605,0.84265,0.99889,0.31632,0.18421,0.19013,0.07137,2.37674,1.63649,1.37967,0.000944981,0.000944981,0.000944981
72,407.401,1.39474,0.86173,0.97813,0.29654,0.19474,0.18868,0.06957,2.42512,1.67671,1.35875,0.000934666,0.000934666,0.000934666
73,412.243,1.44804,0.93739,0.99196,0.28991,0.18947,0.18075,0.06502,2.49567,1.67098,1.395,0.000924352,0.000924352,0.000924352
74,417.09,1.47106,0.8883,1.02132,0.26698,0.21106,0.18508,0.07145,2.41673,1.58344,1.45013,0.000914037,0.000914037,0.000914037
75,422.14,1.41391,0.82358,0.99984,0.25591,0.21521,0.18939,0.07318,2.43556,1.57329,1.47612,0.000903722,0.000903722,0.000903722
76,427.37,1.44293,0.87613,0.99172,0.33331,0.22632,0.22148,0.07685,2.44267,1.52775,1.45462,0.000893408,0.000893408,0.000893408
77,432.387,1.39381,0.86125,0.99146,0.32163,0.23158,0.21117,0.07616,2.37722,1.52791,1.42267,0.000883093,0.000883093,0.000883093
78,437.378,1.38522,0.81534,0.98326,0.31637,0.2,0.19205,0.07087,2.34788,1.52407,1.40962,0.000872779,0.000872779,0.000872779
79,442.393,1.40692,0.82882,1.00526,0.2927,0.21551,0.19655,0.07021,2.30722,1.51264,1.40548,0.000862464,0.000862464,0.000862464
80,447.903,1.33915,0.78866,0.97592,0.27752,0.22632,0.19566,0.07987,2.20074,1.51318,1.39,0.00085215,0.00085215,0.00085215
81,453.79,1.40547,0.84334,0.9839,0.27973,0.23158,0.19903,0.0785,2.24769,1.53562,1.39351,0.000841835,0.000841835,0.000841835
82,458.989,1.39053,0.8231,0.97986,0.28557,0.24535,0.1946,0.07223,2.37768,1.58698,1.42887,0.00083152,0.00083152,0.00083152
83,464.061,1.3278,0.77555,0.95393,0.30873,0.22632,0.20695,0.07375,2.34289,1.57851,1.41924,0.000821206,0.000821206,0.000821206
84,469.515,1.40881,0.82252,0.98098,0.29363,0.22632,0.19241,0.07654,2.26603,1.5804,1.4199,0.000810891,0.000810891,0.000810891
85,474.819,1.43143,0.85528,1.01673,0.30979,0.24003,0.20156,0.07503,2.28809,1.58114,1.43183,0.000800577,0.000800577,0.000800577
86,480.452,1.36895,0.76898,0.94931,0.31031,0.21579,0.18817,0.0581,2.50644,1.64721,1.48077,0.000790262,0.000790262,0.000790262
87,485.639,1.38552,0.81018,0.99662,0.31329,0.21196,0.19919,0.06233,2.49044,1.6011,1.45101,0.000779948,0.000779948,0.000779948
88,490.802,1.35252,0.82844,0.97608,0.36191,0.22632,0.23133,0.08679,2.28734,1.47552,1.37394,0.000769633,0.000769633,0.000769633
89,495.863,1.4223,0.76702,0.96492,0.35477,0.21859,0.23572,0.08883,2.28091,1.46385,1.39039,0.000759318,0.000759318,0.000759318
90,500.786,1.3442,0.7891,0.98409,0.34993,0.19638,0.22702,0.07829,2.47387,1.51778,1.49445,0.000749004,0.000749004,0.000749004
91,505.836,1.33619,0.77296,0.99249,0.32079,0.18947,0.21932,0.0767,2.47512,1.54974,1.49064,0.000738689,0.000738689,0.000738689
92,510.948,1.30502,0.78701,0.94661,0.34588,0.21053,0.22409,0.08618,2.31698,1.59359,1.44079,0.000728375,0.000728375,0.000728375
93,516.004,1.33987,0.75605,0.97945,0.33356,0.21579,0.21549,0.08167,2.30465,1.63375,1.45578,0.00071806,0.00071806,0.00071806
94,520.976,1.27313,0.74905,0.98888,0.28163,0.23079,0.19607,0.07076,2.36708,1.66709,1.50671,0.000707746,0.000707746,0.000707746
95,526.023,1.36275,0.77007,0.9615,0.26293,0.22105,0.18186,0.06701,2.39126,1.66877,1.51499,0.000697431,0.000697431,0.000697431
96,531.091,1.26444,0.7562,0.95453,0.28898,0.22632,0.1941,0.06462,2.49155,1.64961,1.52179,0.000687117,0.000687117,0.000687117
97,536.352,1.32531,0.78032,0.97535,0.3026,0.22632,0.20418,0.07322,2.43829,1.59945,1.4771,0.000676802,0.000676802,0.000676802
98,544.468,1.36818,0.77556,0.94486,0.3378,0.23684,0.22901,0.08291,2.38067,1.50749,1.4242,0.000666487,0.000666487,0.000666487
99,549.53,1.32965,0.74311,0.93579,0.30734,0.23684,0.23224,0.08222,2.40583,1.49162,1.43153,0.000656173,0.000656173,0.000656173
100,554.688,1.22876,0.71419,0.95658,0.26299,0.21579,0.18572,0.0649,2.47935,1.55963,1.50401,0.000645858,0.000645858,0.000645858
101,559.765,1.32241,0.77467,0.97927,0.27522,0.22632,0.18658,0.06001,2.49891,1.6278,1.53105,0.000635544,0.000635544,0.000635544
102,564.841,1.30885,0.74097,0.95698,0.27919,0.20526,0.17286,0.06194,2.3762,1.61647,1.47346,0.000625229,0.000625229,0.000625229
103,570.061,1.21044,0.70634,0.93017,0.2818,0.20526,0.17159,0.06068,2.36913,1.62124,1.45268,0.000614915,0.000614915,0.000614915
104,575.241,1.23067,0.74211,0.94026,0.27446,0.21579,0.1809,0.06147,2.47102,1.64496,1.47017,0.0006046,0.0006046,0.0006046
105,580.676,1.28997,0.75447,0.94459,0.27023,0.22632,0.19537,0.06217,2.48266,1.61047,1.4761,0.000594286,0.000594286,0.000594286
106,586.275,1.27514,0.75377,0.96323,0.29165,0.23158,0.20034,0.07513,2.3757,1.53756,1.46203,0.000583971,0.000583971,0.000583971
107,594.262,1.25227,0.71112,0.92412,0.2823,0.24211,0.20093,0.07759,2.3463,1.51371,1.46057,0.000573656,0.000573656,0.000573656
108,599.614,1.31486,0.78072,0.96734,0.29718,0.21053,0.17975,0.06807,2.37918,1.56882,1.4769,0.000563342,0.000563342,0.000563342
109,604.994,1.25252,0.72196,0.94203,0.2958,0.19825,0.17441,0.06692,2.39289,1.61061,1.4898,0.000553027,0.000553027,0.000553027
110,610.821,1.23775,0.73075,0.93384,0.28746,0.2,0.18385,0.07096,2.34721,1.61703,1.47682,0.000542713,0.000542713,0.000542713
111,616.196,1.18354,0.7119,0.93267,0.31415,0.23132,0.21356,0.07588,2.33809,1.59648,1.48026,0.000532398,0.000532398,0.000532398
112,622.036,1.21302,0.73413,0.95799,0.34053,0.21579,0.21976,0.08005,2.34324,1.54757,1.48015,0.000522084,0.000522084,0.000522084
113,629.198,1.18483,0.70502,0.94636,0.32868,0.22632,0.21563,0.0791,2.34551,1.53579,1.46994,0.000511769,0.000511769,0.000511769
114,640.407,1.22024,0.67215,0.93175,0.3129,0.20526,0.1894,0.06782,2.43845,1.59508,1.4792,0.000501454,0.000501454,0.000501454
115,647.478,1.32262,0.73742,0.94254,0.30766,0.20207,0.18478,0.06514,2.45188,1.62729,1.47855,0.00049114,0.00049114,0.00049114
116,653.585,1.27551,0.72673,0.94116,0.32139,0.20526,0.18921,0.06322,2.43183,1.60852,1.47601,0.000480825,0.000480825,0.000480825
117,659.106,1.2176,0.70578,0.95085,0.32512,0.20549,0.19883,0.06854,2.38615,1.54968,1.47336,0.000470511,0.000470511,0.000470511
