epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8017,2.06154,3.88633,1.72503,0,0,0,0,0,41.2004,0,0.0001429,0.0001429,0.0001429
2,68.7849,2.11594,3.06233,1.59268,0,0,0,0,0,40.5975,0,0.000297119,0.000297119,0.000297119
3,104.625,1.95573,2.26225,1.46605,0,0,0,0,0,39.3332,0,0.000448226,0.000448226,0.000448226
4,145.724,1.90682,2.19146,1.50585,0,0,0,0,0,37.1523,0,0.00059622,0.00059622,0.00059622
5,186.071,1.77574,1.98476,1.41003,0,0,0,0,0,34.7436,0,0.000741102,0.000741102,0.000741102
6,225.56,1.84877,2.00576,1.42706,0,0,0,0,0,33.2252,0,0.000882872,0.000882872,0.000882872
7,267.408,1.82024,1.98863,1.44788,0,0,0,0,0,33.2863,0,0.00102153,0.00102153,0.00102153
8,302.255,1.85018,1.93469,1.43444,0,0,0,0,0,36.627,0,0.00115707,0.00115707,0.00115707
9,337.437,1.83759,1.87694,1.40826,0,0,0,0,0,57.328,0,0.00128951,0.00128951,0.00128951
10,371.194,1.82658,2.04648,1.45089,0,0,0,0,0,61.7706,0,0.00130168,0.00130168,0.00130168
11,407.98,1.7388,1.81463,1.38324,0,0,0,0,0,65.2157,0,0.00128753,0.00128753,0.00128753
12,443.004,1.73365,1.7089,1.36171,0,0,0,0,0,91.7533,0,0.00127338,0.00127338,0.00127338
13,477.976,1.81392,1.71963,1.39153,0,0,0,0,0,105.69,0,0.00125923,0.00125923,0.00125923
14,513.163,1.74571,1.66551,1.36586,0,0,0,0,0,107.119,0,0.00124509,0.00124509,0.00124509
15,548.55,1.73087,1.67772,1.39757,0,0,0,0,0,78.7758,0,0.00123094,0.00123094,0.00123094
16,584.601,1.68294,1.60396,1.38438,0,0,0,0,0,77.374,0,0.00121679,0.00121679,0.00121679
17,620.57,1.68394,1.60198,1.33624,0,0,0,0,0,58.9234,0,0.00120265,0.00120265,0.00120265
18,654.83,1.707,1.68718,1.37682,0,0,0,0,0,64.8804,0,0.0011885,0.0011885,0.0011885
19,689.12,1.62064,1.47845,1.28666,0,0,0,0,0,82.9708,0,0.00117435,0.00117435,0.00117435
