epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5945,0,59.9446,0,0,0,0,0,0,41.4907,0,0.00030009,0.00030009,0.00030009
2,141.136,0,52.3462,0,0,0,0,0,0,38.4428,0,0.000608387,0.000608387,0.000608387
3,216.433,0,47.9079,0,0,0,0,0,0,29.5464,0,0.000910459,0.000910459,0.000910459
4,287.073,0,44.459,0,0,0,0,0,0,25.7856,0,0.00120631,0.00120631,0.00120631
5,354.393,0,42.0371,0,0,0,0,0,0,22.4459,0,0.00137241,0.00137241,0.00137241
6,424.039,0,39.6766,0,0,0,0,0,0,35.8569,0,0.00135826,0.00135826,0.00135826
7,498.423,0,37.5214,0,0,0,0,0,0,23.0535,0,0.00134412,0.00134412,0.00134412
8,569.709,0,35.5414,0,0,0,0,0,0,22.4891,0,0.00132997,0.00132997,0.00132997
9,644.01,0,33.7216,0,0,0,0,0,0,22.5567,0,0.00131582,0.00131582,0.00131582
10,741.235,0,31.9759,0,0,0,0,0,0,21.8163,0,0.00130168,0.00130168,0.00130168
11,884.709,0,30.1885,0,0,0,0,0,0,20.5723,0,0.00128753,0.00128753,0.00128753
12,1012.44,0,28.4502,0,0,0,0,0,0,72.1682,0,0.00127338,0.00127338,0.00127338
13,1141.77,0,26.8192,0,0,0,0,0,0,18.1867,0,0.00125923,0.00125923,0.00125923
14,1271.64,0,25.4635,0,0,0,0,0,0,332.236,0,0.00124509,0.00124509,0.00124509
15,1401.85,0,24.0284,0,0,0,0,0,0,34.7169,0,0.00123094,0.00123094,0.00123094
16,1533.19,0,22.6594,0,0,0,0,0,0,17.1905,0,0.00121679,0.00121679,0.00121679
17,1661.67,0,21.3857,0,0,0,0,0,0,15.1712,0,0.00120265,0.00120265,0.00120265
18,1761.65,0,20.1253,0,0,0,0,0,0,14.4518,0,0.0011885,0.0011885,0.0011885
19,1868.33,0,18.8928,0,0,0,0,0,0,13.4056,0,0.00117435,0.00117435,0.00117435
20,1956.05,0,17.738,0,0,0,0,0,0,28.4041,0,0.00116021,0.00116021,0.00116021
21,2056.46,0,16.5735,0,0,0,0,0,0,11.6509,0,0.00114606,0.00114606,0.00114606
22,2141.43,0,15.4957,0,0,0,0,0,0,994.064,0,0.00113191,0.00113191,0.00113191
23,2220.74,0,14.4294,0,0,0,0,0,0,45.4024,0,0.00111776,0.00111776,0.00111776
24,2300.58,0,13.4073,0,0,0,0,0,0,30.69,0,0.00110362,0.00110362,0.00110362
25,2374.53,0,12.4785,0,0,0,0,0,0,330.341,0,0.00108947,0.00108947,0.00108947
26,2455,0,11.5912,0,0,0,0,0,0,14.2584,0,0.00107532,0.00107532,0.00107532
27,2557.8,0,10.7572,0,0,0,0,0,0,502.039,0,0.00106118,0.00106118,0.00106118
28,2725.94,0,9.97867,0,0,0,0,0,0,34.5192,0,0.00104703,0.00104703,0.00104703
