epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.87,1.09791,39.7439,1.06297,0.00262,1,0.0164,0.00547,2.56415,7.03418,3.29641,0.00046826,0.00046826,0.00046826
2,391.355,1.20796,32.7766,1.09906,0,0,0,0,3.67012,6.09004,3.32834,0.000935242,0.000935242,0.000935242
3,578.386,1.09639,31.7606,1.00997,0,0,0,0,5.85168,11.9682,5.89327,0.00139279,0.00139279,0.00139279
4,834.592,1.60984,24.1185,1.42531,0,0,0,0,6.41856,20.1527,101.883,0.00138656,0.00138656,0.00138656
5,1079.55,1.19614,21.807,1.17594,0.00085,0.5,0.00497,0.00245,2.33642,4.58174,2.95432,0.00137241,0.00137241,0.00137241
6,1337.28,1.12715,19.4402,1.10378,0,0,0,0,3.5036,5.00446,4.1478,0.00135826,0.00135826,0.00135826
7,1535.45,1.51132,14.3519,1.44213,0,0,0,0,3.06771,5.24108,3.3128,0.00134412,0.00134412,0.00134412
8,1727.76,0.93049,13.9183,0.9593,0.00582,1,0.09601,0.01091,3.05621,4.64822,3.21195,0.00132997,0.00132997,0.00132997
9,2081.05,1.41172,10.2198,1.37748,0,0,0,0,2.28018,4.26936,2.74821,0.00131582,0.00131582,0.00131582
10,2411.82,0.89107,9.56207,0.86774,0,0,0,0,3.65286,4.88019,3.73169,0.00130168,0.00130168,0.00130168
11,2788.69,1.1038,7.413,1.09817,0,0,0,0,3.42296,4.41371,3.55675,0.00128753,0.00128753,0.00128753
12,3185.23,0.9201,6.05628,0.96785,0,0,0,0,2.96007,4.28497,3.16748,0.00127338,0.00127338,0.00127338
13,3439.57,0.82068,5.19738,0.83519,0,0,0,0,4.0387,4.51435,3.67671,0.00125923,0.00125923,0.00125923
14,3654.3,1.36565,4.69787,1.40139,0,0,0,0,2.87063,4.47524,3.2116,0.00124509,0.00124509,0.00124509
15,3853.77,0.71838,3.69995,0.75979,0,0,0,0,2.9098,4.57409,3.22595,0.00123094,0.00123094,0.00123094
16,4165.53,1.25331,3.72066,1.2373,0,0,0,0,2.67477,4.55119,3.05473,0.00121679,0.00121679,0.00121679
17,4431.61,1.12989,3.27639,1.1125,0,0,0,0,2.73954,4.71226,3.02545,0.00120265,0.00120265,0.00120265
18,4752.04,1.11535,3.26348,1.15136,0,0,0,0,3.03183,4.87689,3.06035,0.0011885,0.0011885,0.0011885
19,5058.63,1.11935,2.91084,1.12061,0,0,0,0,3.2654,4.7675,3.10623,0.00117435,0.00117435,0.00117435
20,5378.9,1.14309,3.1743,1.24845,0,0,0,0,3.6002,4.63268,3.34928,0.00116021,0.00116021,0.00116021
21,5588.7,1.34335,3.07236,1.36529,0,0,0,0,3.24236,4.84641,3.18008,0.00114606,0.00114606,0.00114606
22,5775.6,1.26199,2.82767,1.24897,0,0,0,0,3.61342,4.88527,3.49399,0.00113191,0.00113191,0.00113191
23,5960.69,1.39551,2.96226,1.32722,0,0,0,0,3.37177,5.17023,3.25012,0.00111776,0.00111776,0.00111776
24,6151.64,0.75294,2.13241,0.78681,0,0,0,0,3.05685,4.93338,3.07499,0.00110362,0.00110362,0.00110362
25,6368.01,1.1569,2.65154,1.14879,0,0,0,0,2.66225,5.22881,3.03792,0.00108947,0.00108947,0.00108947
26,6595.61,1.34916,3.03733,1.34637,0,0,0,0,2.99555,4.86798,3.1324,0.00107532,0.00107532,0.00107532
27,7010.34,1.06546,2.47215,1.06397,0,0,0,0,3.28977,5.0026,3.30672,0.00106118,0.00106118,0.00106118
28,7423.38,1.35449,2.86629,1.36478,0,0,0,0,3.29215,5.07406,3.2996,0.00104703,0.00104703,0.00104703
